,NAME,perwhite,pernonwhite,per.homeowner,per.public,drive_alone,carpool,onePrnt6to17,PovChld6_17,NumStations
124,"Census Tract 612.03, Suffolk County, Massachusetts",0.827098079,0.172901921,0.641153082,0.418381344,0.176946411,0.024772497,0.513513514,0,1
125,"Census Tract 612.04, Suffolk County, Massachusetts",0.895814782,0.104185218,0.426533524,0.047453704,0.18699911,0.148708816,0,0,1
126,"Census Tract 7.01, Suffolk County, Massachusetts",0.652780807,0.347219193,0.147942672,0.382913165,0.19302072,0.024863686,0.866666667,0,1
127,"Census Tract 7.03, Suffolk County, Massachusetts",0.486711829,0.513288171,0.048304214,0.458677686,0.108389786,0.001563314,NA,NA,1
128,"Census Tract 7.04, Suffolk County, Massachusetts",0.457901086,0.542098914,0.10872745,0.451232211,0.132931242,0.008202654,0.840764331,0,1
129,"Census Tract 701.02, Suffolk County, Massachusetts",0.53722262,0.46277738,0.427289048,0.237824675,0.079455977,0.008947745,0.418604651,0,3
130,"Census Tract 701.03, Suffolk County, Massachusetts",0.407871199,0.592128801,0.019138756,0.144366197,0.085867621,0,0,0,0
131,"Census Tract 701.04, Suffolk County, Massachusetts",0.628856624,0.371143376,0.612565445,0.101880878,0.141107078,0,0.21686747,0,6
132,"Census Tract 702.01, Suffolk County, Massachusetts",0.541588493,0.458411507,0.154574132,0.217723453,0.033145716,0.009380863,0,0,2
133,"Census Tract 702.02, Suffolk County, Massachusetts",0.203649047,0.796350953,0.049973418,0.115384615,0.057687148,0.012074054,0.415540541,0.172297297,2
134,"Census Tract 703.01, Suffolk County, Massachusetts",0.749729144,0.250270856,0.559861592,0.21010333,0.18851571,0,0.376623377,0,0
135,"Census Tract 703.02, Suffolk County, Massachusetts",0.78742077,0.21257923,0.442636986,0.216123499,0.10385178,0,0,0.261904762,1
136,"Census Tract 704.02, Suffolk County, Massachusetts",0.395758447,0.604241553,0.039304124,0.123972603,0.113946801,0.046728972,0.676258993,0.086330935,4
137,"Census Tract 705.01, Suffolk County, Massachusetts",0.705322129,0.294677871,0.442696629,0.111448067,0.225210084,0.025210084,0,0,0
138,"Census Tract 705.02, Suffolk County, Massachusetts",0.252151663,0.747848337,0.304946456,0.243064729,0.078622936,0.027680856,0.733229329,0.205928237,1
139,"Census Tract 706, Suffolk County, Massachusetts",0.730555556,0.269444444,0.69826087,0.172029703,0.193253968,0.028968254,0.414330218,0,1
140,"Census Tract 707, Suffolk County, Massachusetts",0.529321579,0.470678421,0.345392491,0.288081581,0.114220008,0.010348793,0.307692308,0.034188034,1
141,"Census Tract 708.01, Suffolk County, Massachusetts",0.764705882,0.235294118,0.033898305,0.325884544,0.125490196,0,NA,NA,2
142,"Census Tract 708.02, Suffolk County, Massachusetts",0.678655199,0.321344801,0.312987013,0.362579895,0.090695856,0.014073495,0.184466019,0,1
143,"Census Tract 709.01, Suffolk County, Massachusetts",0.177777778,0.822222222,0.274373259,0.518703242,0.114814815,0.045925926,0.845714286,0,0
144,"Census Tract 709.02, Suffolk County, Massachusetts",0.740843507,0.259156493,0.424424424,0.236334405,0.211986681,0.039955605,NA,NA,0
145,"Census Tract 711.01, Suffolk County, Massachusetts",0.47971652,0.52028348,0.343052392,0.284545455,0.126832845,0.017839687,0,0,2
